Domain,Condition,Raw_Signals,Validated_Signals,Paradigm_Signals,Segment_Count,Statistical_Significance,Detected_Years,Confidence_Scores,Signal_Types,Execution_Time
natural_language_processing,Citation_Only,1,1,1,6,0.5293050480433883,[2011],[np.float64(0.30396535743251063)],['validated_citation_disruption'],0.1250920295715332
natural_language_processing,Semantic_Only,3,3,3,6,0.5293050480433883,"[2011, 2013, 2015]","[0.4, 0.4, 0.8]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.14206218719482422
natural_language_processing,Direction_Only,6,6,6,6,0.5293050480433883,"[1994, 1996, 1998, 2000, 2004, 2010]","[0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975, 0.4043154039624057]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.09480786323547363
natural_language_processing,Citation_Semantic,3,3,3,6,0.5293050480433883,"[2011, 2013, 2015]","[np.float64(0.9039653574325106), 0.4, 0.8]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.16513800621032715
natural_language_processing,Citation_Direction,6,6,6,6,0.5293050480433883,"[2011, 1994, 1996, 1998, 2000, 2004]","[np.float64(0.30396535743251063), 0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.09512710571289062
natural_language_processing,Semantic_Direction,8,8,8,6,0.5293050480433883,"[2011, 2013, 2015, 1994, 1996, 1998, 2000, 2004]","[0.4, 0.4, 0.8, 0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.14436697959899902
natural_language_processing,All_Signals,8,8,8,6,0.5293050480433883,"[2011, 2013, 2015, 1994, 1996, 1998, 2000, 2004]","[np.float64(0.9039653574325106), 0.4, 0.8, 0.42666666666666664, 0.4176245210727969, 0.4278758368837492, 0.45466405740378346, 0.40364394488759975]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.17139887809753418
deep_learning,Citation_Only,1,1,1,8,0.6594774957224432,[2013],[np.float64(0.4978324222724215)],['validated_citation_disruption'],0.11247730255126953
deep_learning,Semantic_Only,4,4,4,8,0.6594774957224432,"[2009, 2013, 2015, 2017]","[0.4, 0.6, 0.6, 0.4]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.19642210006713867
deep_learning,Direction_Only,10,10,10,8,0.6594774957224432,"[1990, 1995, 1999, 2002, 2004, 2006, 2008, 2010, 2012, 2014]","[0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688, 0.4034782608695652, 0.4240309829401786, 0.43640081799590996, 0.45689655172413796, 0.46708177667081774]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.11584877967834473
deep_learning,Citation_Semantic,4,4,4,8,0.6594774957224432,"[2013, 2009, 2015, 2017]","[1.0, 0.4, 0.6, 0.4]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.19832611083984375
